IncidentNumber,CaseNumber,DateOccurred - Dt,DateOccurred - Txt,IncidentType,IncidentCode,AssociatedOfficerNumber,BadgeNum ber,OfficerTitle,OfficerRace,OfficerGender,OfficerOnDuty,FullAddress,CitizenNumber,CitizenRace,CitizenGenger,CitizenFatality,City,Precinct,CitizenGender,UseOfForceType
137,IA2000-00032,2/10/2000,2000-02-10,Internal,GEN,288,P2854,,,,,,54,White,Female,No,,,Female,
137,IA2000-00032,2/10/2000,2000-02-10,Internal,GEN,186,L377,,,,,,54,White,Female,No,,,Female,
138,IA2000-00177,Missing Data,2000-10-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
140,IA2000-00118,Missing Data,2000-07-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
145,IA2000-00169,10/2/2000,2000-10-02,Internal,GEN,107,2941,,,,,,57,Black,Female,No,,,Female,
146,UF2000-00124,7/26/2000,2000-07-26,Excessiveforce,GEN,101,P3226,,,,,,58,Black,Male,No,,,Male,
146,UF2000-00124,7/26/2000,2000-07-26,Excessiveforce,GEN,261,P3241,,,,,,58,Black,Male,No,,,Male,
147,IA2000-00172,10/10/2000,2000-10-10,Internal,GEN,291,P2760,,,,,,59,White,Female,No,,,Female,
148,IA2000-00174,10/16/2000,2000-10-16,External,GEN,154,P3161,,,,,,60,Unknown,Female,No,,,Female,
149,UF2000-00159,9/9/2000,2000-09-09,Excessiveforce,GEN,229,L340,,,,,,61,Black,Female,No,,,Female,
156,IA2000-00135,Missing Data,2000-08-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
157,IA2000-00197,12/16/2000,2000-12-16,External,GEN,263,C137,,,,,,63,Black,Female,No,,,Female,
157,IA2000-00197,12/16/2000,2000-12-16,External,GEN,300,P3458,,,,,,63,Black,Female,No,,,Female,
160,UF2000-00187,11/30/2000,2000-11-30,Excessiveforce,GEN,236,D492,,,,,,64,Black,Female,No,,,Female,
162,UF2000-00129,7/27/2000,2000-07-27,Excessiveforce,GEN,115,P2205,,,,,,65,Black,Male,No,,,Male,
163,UF2000-00171,10/8/2000,2000-10-08,Excessiveforce,GEN,196,,,,,,,66,Black,Male,No,,,Male,
163,UF2000-00171,10/8/2000,2000-10-08,Excessiveforce,GEN,271,,,,,,,66,Black,Male,No,,,Male,
163,UF2000-00171,10/8/2000,2000-10-08,Excessiveforce,GEN,247,,Cba,White,Male,No,,66,Black,Male,No,,,Male,
164,UF2000-00170,7/29/2000,2000-07-29,Excessiveforce,GEN,224,,,,,,,67,White,Male,No,,,Male,
209,UF2000-00160,9/9/2000,2000-09-09,Excessiveforce,GEN,229,L340,,,,,,68,U,Female,No,,,Female,
209,UF2000-00160,9/9/2000,2000-09-09,Excessiveforce,GEN,161,P3252,,,,,,68,U,Female,No,,,Female,
177,IA2000-00110,6/21/2000,2000-06-21,External,GEN,304,L471,,,,,,69,,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
177,IA2000-00110,6/21/2000,2000-06-21,External,GEN,259,P2158,,,,,,69,,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
186,UF2000-00133,12/3/1999,1999-12-03,Excessive Force,GEN,290,D245,,,,,,70,,Male,No,,,Male,
186,UF2000-00133,12/3/1999,1999-12-03,Excessive Force,GEN,226,DS550,,,,,,70,,Male,No,,,Male,
186,UF2000-00133,12/3/1999,1999-12-03,Excessive Force,GEN,228,,,,,,,70,,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
188,UF2001-00005,12/15/2000,2000-12-15,Excessiveforce,GEN,434,P3405,,,,,,72,Black,Male,No,,,Male,
188,UF2001-00005,12/15/2000,2000-12-15,Excessiveforce,GEN,118,,,,,,,72,Black,Male,No,,,Male,
188,UF2001-00005,12/15/2000,2000-12-15,Excessiveforce,GEN,317,P3276,,,,,,72,Black,Male,No,,,Male,
189,IA2001-00008,Missing Data,2001-01-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
190,IA2001-00001,Missing Data,2000-12-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
202,UF2001-00002,12/28/2000,2000-12-28,Excessiveforce,GEN,263,C137,,,,,,75,White,Female,No,,,Female,
202,UF2001-00002,12/28/2000,2000-12-28,Excessiveforce,GEN,300,P3458,,,,,,75,White,Female,No,,,Female,
202,UF2001-00002,12/28/2000,2000-12-28,Excessiveforce,GEN,226,DS550,,,,,,75,White,Female,No,,,Female,
202,UF2001-00002,12/28/2000,2000-12-28,Excessiveforce,GEN,1062,P2024,,,,,,75,White,Female,No,,,Female,
202,UF2001-00002,12/28/2000,2000-12-28,Excessiveforce,GEN,1062,P2024,,,,,,76,White,Male,No,,,Male,
202,UF2001-00002,12/28/2000,2000-12-28,Excessiveforce,GEN,226,DS550,,,,,,76,White,Male,No,,,Male,
202,UF2001-00002,12/28/2000,2000-12-28,Excessiveforce,GEN,300,P3458,,,,,,76,White,Male,No,,,Male,
202,UF2001-00002,12/28/2000,2000-12-28,Excessiveforce,GEN,263,C137,,,,,,76,White,Male,No,,,Male,
119,IA2000-00075,Missing Data,2000-04-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
141,IA2000-00117,Missing Data,2000-07-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
141,IA2000-00117,Missing Data,2000-07-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
73,UF2000-00081,5/2/2000,2000-05-02,Excessive,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
73,UF2000-00081,5/2/2000,2000-05-02,Excessive,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
73,UF2000-00081,5/2/2000,2000-05-02,Excessive,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
74,UF2000-00082,2/26/2000,2000-02-26,Excessiveforce,GEN,133,,,,,,,80,Black,Female,No,,,Female,
75,UF2000-00083,2/26/2000,2000-02-26,Excessive,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
180,IA2000-00088,5/13/2000,2000-05-13,External,GEN,177,D378,,,,,,82,Black,Female,No,,,Female,
77,IA2000-00091,5/25/2000,2000-05-25,External,GEN,193,P3105,,,,,,83,,,No,,,,Missing Data
179,IA2000-00092,5/26/2000,2000-05-26,Internal,GEN,289,,,,,,,84,,,No,,,,
91,IA2000-00095,5/29/2000,2000-05-29,Internal,GEN,293,L421,,,,,,85,,,No,,,,
177,IA2000-00110,6/21/2000,2000-06-21,External,GEN,259,P2158,,,,,,86,Black,Female,No,,,Female,
177,IA2000-00110,6/21/2000,2000-06-21,External,GEN,304,L471,,,,,,86,Black,Female,No,,,Female,
171,IA2000-00116,Missing Data,2000-03-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
171,IA2000-00116,Missing Data,2000-03-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
171,IA2000-00116,Missing Data,2000-03-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
181,UF2000-00142,8/7/2000,2000-08-07,Excessiveforce,GEN,217,L426,,,,,,88,Black,Male,No,,,Male,
181,UF2000-00142,8/7/2000,2000-08-07,Excessiveforce,GEN,287,P2439,,,,,,88,Black,Male,No,,,Male,
211,UF2000-00087,5/16/2000,2000-05-16,Excessive Force,GEN,272,P2674,,,,,,89,,,No,,,,Missing Data
215,IA2001-00020,1/19/2001,2001-01-19,Internal,GEN,106,D594,,,,,,90,White,Female,No,,,Female,
217,UF2001-00021,1/6/2001,2001-01-06,Excessiveforce,GEN,133,,,,,,,91,Black,Male,No,,,Male,
146,UF2000-00124,7/26/2000,2000-07-26,Excessiveforce,GEN,261,P3241,,,,,,92,Black,Male,No,,,Male,
146,UF2000-00124,7/26/2000,2000-07-26,Excessiveforce,GEN,101,P3226,,,,,,92,Black,Male,No,,,Male,
222,UF2001-00007,12/5/2000,2000-12-05,Excessiveforce,GEN,144,P3352,,,,,,94,Black,Male,No,,,Male,
222,UF2001-00007,12/5/2000,2000-12-05,Excessiveforce,GEN,470,L341,,,,,,94,Black,Male,No,,,Male,
223,IA2001-00006,12/27/2000,2000-12-27,External,GEN,411,P2406,,,,,,95,,,No,,,,Missing Data
223,IA2001-00006,12/27/2000,2000-12-27,External,GEN,150,,,,,,,95,,,No,,,,
226,IA2001-00030,1/19/2001,2001-01-19,External,GEN,140,P2028,,,,,,97,,,No,,,,Missing Data
226,IA2001-00030,1/19/2001,2001-01-19,External,GEN,137,P3134,,,,,,97,,,No,,,,Missing Data
168,UF2000-00168,9/29/2000,2000-09-29,Excessiveforce,GEN,265,C126,,,,,,98,Black,Male,No,,,Male,
231,IA2001-00031,2/16/2001,2001-02-16,External,GEN,142,P2945,,,,,,99,White,Male,No,,,Male,
231,IA2001-00031,2/16/2001,2001-02-16,External,GEN,142,P2945,,,,,,100,White,Female,No,,,Female,
377,IA2001-00158,8/31/2001,2001-08-31,External,GEN,541,P3204,,,,,,101,Black,Female,No,,,Female,
377,IA2001-00158,8/31/2001,2001-08-31,External,GEN,497,I38,,,,,,101,Black,Female,No,,,Female,
377,IA2001-00158,8/31/2001,2001-08-31,External,GEN,63,D544,,,,,,101,Black,Female,No,,,Female,
377,IA2001-00158,8/31/2001,2001-08-31,External,GEN,54,P3296,,,,,,101,Black,Female,No,,,Female,
393,UF2001-00174,11/11/2001,2001-11-11,Excessive Force,GEN,77,P3205,,,,,,102,,,No,,,,Missing Data
394,IA2002-00030,3/20/2002,2002-03-20,External,GEN,280,L468,,,,,,103,,,No,,,,Missing Data
396,UF2001-00143,3/25/2001,2001-03-25,Excessive Force,GEN,546,P2075,,,,,,104,,,No,,,,Missing Data
396,UF2001-00143,3/25/2001,2001-03-25,Excessive Force,GEN,65,P3124,,,,,,104,,,No,,,,Missing Data
69,IA2000-00076,4/25/2000,2000-04-25,Internal,GEN,260,P2077,,,,,,105,White,Female,No,,,Female,
234,UF2001-00034,2/1/2001,2001-02-01,Excessiveforce,GEN,73,P2602,,,,,,106,Black,Female,No,,,Female,
234,UF2001-00034,2/1/2001,2001-02-01,Excessiveforce,GEN,90,P3269,,,,,,106,Black,Female,No,,,Female,
235,IA2001-00035,Missing Data,2001-02-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
176,IA2000-00121,Missing Data,2000-01-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
176,IA2000-00121,Missing Data,2000-01-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
236,UF2001-00037,2/6/2001,2001-02-06,Excessiveforce,GEN,40,,,,,No,,109,White,Male,No,,,Male,
236,UF2001-00037,2/6/2001,2001-02-06,Excessiveforce,GEN,39,,Oﬃcer,Hispanic,Male,No,,109,White,Male,No,,,Male,
237,UF2001-00039,3/10/2001,2001-03-10,Excessiveforce,GEN,12,D119,,,,,,110,Black,Male,No,,,Male,
238,UF2001-00036,12/13/2000,2000-12-13,Excessiveforce,GEN,140,P2028,,,,,,111,Black,Male,No,,,Male,
238,UF2001-00036,12/13/2000,2000-12-13,Excessiveforce,GEN,137,P3134,Oﬃcer,White,Male,No,,111,Black,Male,No,,,Male,
238,UF2001-00036,12/13/2000,2000-12-13,Excessiveforce,GEN,1233,D591,,,,,,111,Black,Male,No,,,Male,
241,IA2001-00041,3/19/2001,2001-03-19,External,GEN,166,D455,,,,,,112,,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
241,IA2001-00041,3/19/2001,2001-03-19,External,GEN,166,D455,,,,,,113,,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
242,UF2001-00040,3/5/2001,2001-03-05,Excessiveforce,GEN,133,,,,,,,114,White,Male,No,,,Male,
245,IA2001-00046,3/28/2001,2001-03-28,External,GEN,143,P3166,,,,,,115,White,Female,No,,,Female,
246,IA1999-00200,7/6/1999,1999-07-06,Excessiveforce,GEN,144,P3352,,,,,,116,Black,Male,No,,,Male,
247,IA1999-00199,9/19/1999,1999-09-19,External,GEN,33,P3103,,,,,,117,,,No,,,,Missing Data
249,UF1999-00196,9/15/1999,1999-09-15,Excessiveforce,GEN,66,,,,,,,118,White,Male,No,,,Male,
249,UF1999-00196,9/15/1999,1999-09-15,Excessiveforce,GEN,45,D464,,,,,,118,White,Male,No,,,Male,
249,UF1999-00196,9/15/1999,1999-09-15,Excessiveforce,GEN,393,D599,Oﬃcer,White,Female,No,,118,White,Male,No,,,Male,
250,UF1999-00192,9/13/1999,1999-09-13,Excessiveforce,GEN,434,P3405,,,,,,119,White,Male,No,,,Male,
251,UF1999-00193,9/8/1999,1999-09-08,Excessiveforce,GEN,151,D454,,,,,,120,White,Male,No,,,Male,
252,UF2001-00045,3/26/2001,2001-03-26,Excessiveforce,GEN,164,D453,,,,,,121,Black,Male,No,,,Male,
252,UF2001-00045,3/26/2001,2001-03-26,Excessiveforce,GEN,236,D492,,,,,,121,Black,Male,No,,,Male,
391,UF2002-00037,4/28/2002,2002-04-28,Excessiveforce,GEN,247,,,,,,,121,Black,Male,No,,,Male,
253,IA2001-00047,3/9/2001,2001-03-09,External,GEN,341,P3504,,,,,,122,,,No,,,,Missing Data
253,IA2001-00047,3/9/2001,2001-03-09,External,GEN,530,P3107,Officer,Black,Male,No,,122,,,No,,,,
257,IA1999-00189,9/2/1999,1999-09-02,External,GEN,152,P2493,,,,,,124,,,No,,,,Missing Data
258,IA1999-00190,8/28/1999,1999-08-28,External,GEN,411,P2406,,,,,,125,,,No,,,,Missing Data
258,IA1999-00190,8/28/1999,1999-08-28,External,GEN,19,P3381,,,,,,125,,,No,,,,Missing Data
259,IA1999-00191,9/14/1999,1999-09-14,External,GEN,142,P2945,,,,,,126,Black,Female,No,,,Female,
259,IA1999-00191,9/14/1999,1999-09-14,External,GEN,28,P3312,,,,,,126,Black,Female,No,,,Female,
260,IA1999-00194,9/11/1999,1999-09-11,External,GEN,6,,,,,,,127,,,No,,,,
261,IA1999-00195,Missing Data,1999-09-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
261,IA1999-00195,Missing Data,1999-09-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
262,UF2001-00049,4/9/2001,2001-04-09,Excessiveforce,GEN,434,P3405,,,,,,129,Black,Male,No,,,Male,
262,UF2001-00049,4/9/2001,2001-04-09,Excessiveforce,GEN,112,C131,,,,,,129,Black,Male,No,,,Male,
268,UF2001-00070,5/14/2001,2001-05-14,Excessiveforce,GEN,59,I37,,,,,,132,Black,Female,No,,,Female,
268,UF2001-00070,5/14/2001,2001-05-14,Excessiveforce,GEN,59,I37,,,,,,133,Black,Female,No,,,Female,
269,UF2001-00065,5/10/2001,2001-05-10,Excessiveforce,GEN,246,P3081,,,,,,134,Black,Male,No,,,Male,
269,UF2001-00065,5/10/2001,2001-05-10,Excessive Force,GEN,246,P3081,,,,,,135,,,No,,,,Missing Data
270,UF2001-00069,5/16/2001,2001-05-16,Excessiveforce,GEN,288,P2854,,,,,,136,Hispanic,Female,No,,,Female,
274,IA2001-00072,4/23/2001,2001-04-23,External,GEN,299,P2151,,,,,,137,White,Male,No,,,Male,
275,IA2001-00063,5/1/2001,2001-05-01,Internal,GEN,85,P2730,,,,,,138,,,No,,,,Missing Data
275,IA2001-00063,5/1/2001,2001-05-01,Internal,GEN,22,P2313,,,,,,138,,,No,,,,Missing Data
276,UF2001-00067,5/13/2001,2001-05-13,Excessiveforce,GEN,1062,P2024,,,,,,139,Black,Female,No,,,Female,
276,UF2001-00067,5/13/2001,2001-05-13,Excessiveforce,GEN,1062,P2024,,,,,,140,Black,Male,No,,,Male,
277,UF2001-00074,5/25/2001,2001-05-25,Excessiveforce,GEN,88,P3452,,,,,,141,White,Male,No,,,Male,
277,UF2001-00074,5/25/2001,2001-05-25,Excessiveforce,GEN,72,L504,,,,,,141,White,Male,No,,,Male,
278,UF2001-00068,5/16/2001,2001-05-16,Excessiveforce,GEN,262,P2187,,,,,,142,Hispanic,Female,No,,,Female,
279,IA2001-00075,5/14/2001,2001-05-14,External,GEN,36,L350,,,,,,143,,,No,,,,
279,IA2001-00075,5/14/2001,2001-05-14,External,GEN,25,L288,,,,,,143,,,No,,,,
280,IA2001-00080,Missing Data,2001-06-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
283,IA2001-00087,6/6/2001,2001-06-06,External,GEN,51,P3266,,,,,,146,White,,No,,,,Missing Data
288,IA2001-00056,4/6/2001,2001-04-06,External,GEN,456,L439,,,,,,147,,,No,,,,Missing Data
289,IA2001-00090,6/18/2001,2001-06-18,External,GEN,322,P3312,,,,,,148,Hispanic,Female,No,,,Female,
294,UF2001-085,5/25/2001,2001-05-25,Excessiveforce,GEN,103,****,,,,,,149,White,Male,No,,,Male,
294,UF2001-085,5/25/2001,2001-05-25,Excessiveforce,GEN,271,,,,,,,149,White,Male,No,,,Male,
295,IA2001-00089,3/21/2001,2001-03-21,External,GEN,201,P3410,,,,,,150,Black,Male,No,,,Male,
295,IA2001-00089,Missing Data,2001-03-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
344,IA1999-00186,9/9/1999,1999-09-09,External,GEN,280,L468,,,,,,151,White,Female,No,,,Female,
296,IA2001-00094,6/30/2001,2001-06-30,External,GEN,100,L417,,,,,,152,White,,No,,,,Missing Data
296,IA2001-00094,6/30/2001,2001-06-30,External,GEN,267,D342,,,,,,152,White,,No,,,,Missing Data
298,IA2001-00073,5/26/2001,2001-05-26,External,GEN,80,,,,,,,153,,,No,,,,
299,IA2001-00079,6/7/2001,2001-06-07,External,GEN,104,P2881,,,,,,154,,,No,,,,Missing Data
301,IA2001-00104,11/3/2000,2000-11-03,Internal,GEN,33,P3103,,,,,,155,,,No,,,,Missing Data
310,IA2001-00093,Missing Data,2001-06-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
311,UF2001-00103,4/7/2001,2001-04-07,Excessiveforce,GEN,36,L350,,,,,,158,White,Male,No,,,Male,
311,UF2001-00103,4/7/2001,2001-04-07,Excessiveforce,GEN,25,L288,,,,,,158,White,Male,No,,,Male,
311,UF2001-00103,4/7/2001,2001-04-07,Excessiveforce,GEN,577,L222,Lieutenant,White,Male,No,,158,White,Male,No,,,Male,
312,IA2001-00102,7/11/2001,2001-07-11,External,GEN,411,P2406,,,,,,159,White,Male,No,,,Male,
314,IA2001-00110,Missing Data,2001-07-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
316,IA2001-00099,6/26/2001,2001-06-26,External,GEN,21,P3426,,,,,,162,,,No,,,,Missing Data
316,IA2001-00099,6/26/2001,2001-06-26,External,GEN,81,P3399,,,,,,162,,,No,,,,Missing Data
317,IA2001-00091,6/18/2001,2001-06-18,External,GEN,21,P3426,,,,,,163,,,No,,,,Missing Data
317,IA2001-00091,6/18/2001,2001-06-18,External,GEN,81,P3399,,,,,,163,,,No,,,,Missing Data
318,IA2001-00107,6/17/2001,2001-06-17,External,GEN,144,P3352,,,,,,164,,,No,,,,Missing Data
318,IA2001-00107,6/17/2001,2001-06-17,External,GEN,89,,,,,,,164,,,No,,,,
319,IA2001-00098,7/6/2001,2001-07-06,External,GEN,19,P3381,,,,,,165,White,Male,No,,,Male,
321,IA2001-00109,7/21/2001,2001-07-21,External,GEN,201,P3410,,,,,,166,,,No,,,,Missing Data
321,IA2001-00109,7/21/2001,2001-07-21,External,GEN,38,,,,,,,166,,,No,,,,
322,IA2001-00120,7/26/2001,2001-07-26,External,GEN,189,D583,,,,,,167,,,No,,,,Missing Data
322,IA2001-00120,7/26/2001,2001-07-26,External,GEN,48,L367,,,,,,167,,,No,,,,
325,IA2001-00119,8/8/2001,2001-08-08,External,GEN,98,,,,,,,168,,,No,,,,
328,UF1999-00185,9/16/1999,1999-09-16,Excessiveforce,GEN,271,,,,,,,169,White,Male,No,,,Male,
334,UF2001-00127,8/15/2001,2001-08-15,Excessiveforce,GEN,289,,,,,,,170,Black,Male,No,,,Male,
343,UF2001-00061,2/18/2001,2001-02-18,Excessiveforce,GEN,17,,,,,,,172,Black,Male,No,,,Male,
345,IA2001-00100,Missing Data,2001-07-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
349,IA2001-00165,10/28/2001,2001-10-28,External,GEN,32,P3302,,,,,,174,Oriental,Male,No,,,Male,
350,UF2001-00141,4/25/2001,2001-04-25,Excessiveforce,GEN,133,,,,,,,175,Black,Female,No,,,Female,
352,IA2001-00147,9/12/2001,2001-09-12,External,GEN,256,D590,,,,,,176,Black,Female,No,,,Female,
353,IA2001-00148,8/3/2001,2001-08-03,External,GEN,142,P2945,,,,,,177,Black,Male,No,,,Male,
353,IA2001-00148,8/3/2001,2001-08-03,External,GEN,322,P3312,,,,,,177,Black,Male,No,,,Male,
354,IA2001-00151,Missing Data,2001-09-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
355,IA2001-00160,10/18/2001,2001-10-18,External,GEN,147,P2352,,,,,,179,Black,Female,No,,,Female,
355,IA2001-00160,10/18/2001,2001-10-18,External,GEN,148,L299,,,,,,179,Black,Female,No,,,Female,
357,UF2001-164,6/29/2001,2001-06-29,Excessiveforce,GEN,138,D450,,,,,,180,Black,Male,No,,,Male,
357,UF2001-164,6/29/2001,2001-06-29,Excessiveforce,GEN,59,I37,,,,,,180,Black,Male,No,,,Male,
360,IA2001-00170,10/31/2001,2001-10-31,External,GEN,142,P2945,,,,,,181,,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
360,IA2001-00170,10/31/2001,2001-10-31,External,GEN,30,P3432,,,,,,181,,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
361,IA2001-00182,11/29/2001,2001-11-29,External,GEN,133,,,,,,,182,,,No,,,,
362,UF2001-00184,8/31/2001,2001-08-31,Excessive Force,GEN,9,,,,,,,183,,,No,,,,Missing Data
363,IA2001-00175,11/24/2001,2001-11-24,External,GEN,106,D594,,,,,,184,,,No,,,,Missing Data
363,IA2001-00175,11/24/2001,2001-11-24,External,GEN,31,P3339,,,,,,184,,,No,,,,Missing Data
364,IA2002-00003,1/16/2002,2002-01-16,External,GEN,49,P2191,,,,,,185,,,No,,,,Missing Data
364,IA2002-00003,1/16/2002,2002-01-16,External,GEN,87,L425,,,,,,185,,,No,,,,
368,IA2002-00016,2/6/2002,2002-02-06,External,GEN,193,P3105,,,,,,186,,,No,,,,Missing Data
369,IA2001-00050,4/9/2001,2001-04-09,External,GEN,434,P3405,,,,,,187,,,No,,,,Missing Data
369,IA2001-00050,4/9/2001,2001-04-09,External,GEN,112,C131,,,,,,187,,,No,,,,Missing Data
373,IA2001-00155,10/8/2001,2001-10-08,External,GEN,470,L341,,,,,,188,Black,Female,No,,,Female,
373,IA2001-00155,Missing Data,2001-10-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
374,UF2001-00150,8/4/2001,2001-08-04,Excessiveforce,GEN,300,P3458,,,,,,189,White,Male,No,,,Male,
374,UF2001-00150,8/4/2001,2001-08-04,Excessiveforce,GEN,484,P3152,,,,,,189,White,Male,No,,,Male,
375,IA2001-177,Missing Data,2001-11-,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data,Missing Data
306,IA2001-00066,4/11/2001,2001-04-11,External,GEN,146,P2899,,,,,,191,Black,Male,No,,,Male,
3,UF2000-00003,1/8/2000,2000-01-08,Excessiveforce,GEN,288,P2854,,,,,,3,Hispanic,Male,No,,,Male,
3,UF2000-00003,1/8/2000,2000-01-08,Excessiveforce,GEN,288,P2854,,,,,,4,Hispanic,Female,No,,,Female,
4,UF2000-00004,1/8/2000,2000-01-08,Excessiveforce,GEN,181,P2962,,,,,,5,Black,Female,No,,,Female,
7,IA2000-00005,8/23/1999,1999-08-23,Internal,GEN,476,P3409,,,,,,6,,,No,,,,
14,UF2000-00017,11/18/1999,1999-11-18,Excessiveforce,GEN,463,L337,,,,,,7,White,Male,No,,,Male,
