IncidentNumber,CaseNumber,DateOccurred - Dt,DateOccurred - Txt,IncidentType,IncidentCode,AssociatedOfficerNumber,BadgeNum ber,OfficerTitle,OfficerRace,OfficerGender,OfficerOnDuty,FullAddress,CitizenNumber,CitizenRace,CitizenGenger,CitizenFatality,City,Precinct,CitizenGender,UseOfForceType
11386,140380827,2/7/2014,2014-02-07,Use Offorce,UOF,1387,L513,Ppo,White,Male,,,5639,Black,Male,No,Buffalo,,Male,Physical
11386,140380827,2/7/2014,2014-02-07,Use Of Force,UOF,1073,P2684,Policeoﬃcer,White,Male,,,5639,Black,Male,No,Buﬀalo,,Male,
11386,140380827,2/7/2014,2014-02-07,Use Of Force,UOF,75,L457,Policeoﬃcer,White,Male,,,5639,Black,Male,No,Buﬀalo,,Male,
11386,140380827,2/7/2014,2014-02-07,Use Of Force,UOF,347,P3086,Policeoﬃcer,White,Female,,,5639,Black,Male,No,Buﬀalo,,Male,
11387,140390593,2/8/2014,2014-02-08,Use Offorce,UOF,1310,C157,Officer,White,Male,,,5230,Black,Male,No,Buffalo,,Male,Verbal Commands
11387,140390593,2/8/2014,2014-02-08,Use Offorce,UOF,1310,C157,Officer,White,Male,,,5230,Black,Male,No,Buffalo,,Male,Physical Engagement
11387,140390593,2/8/2014,2014-02-08,Use Of Force,UOF,1166,L509,Policeoﬃcer,Black,Male,,,5230,Black,Male,No,Buﬀalo,,Male,
11435,14-042-07355,2/11/2014,2014-02-11,Use Of Force,UOF,1146,D692,Policeoﬃcer,White,Male,,,5913,Hispanic,Male,No,Buﬀalo,,Male,
11435,14-042-07355,2/11/2014,2014-02-11,Use Of Force,UOF,967,L499,Policeoﬃcer,White,Male,,,5913,Hispanic,Male,No,Buﬀalo,,Male,
11455,140460046,2/15/2014,2014-02-15,Use Offorce,UOF,1302,L515,Officer,White,Male,,,5673,Hispanic,Male,No,Buffalo,D,Male,Verbal Commands
11455,140460046,2/15/2014,2014-02-15,Use Offorce,UOF,1302,L515,Officer,White,Male,,,5673,Hispanic,Male,No,Buffalo,D,Male,Cap Spray
11455,140460046,2/15/2014,2014-02-15,Use Offorce,UOF,1302,L515,Officer,White,Male,,,5673,Hispanic,Male,No,Buffalo,D,Male,Physical Engagement
11455,140460046,2/15/2014,2014-02-15,Use Offorce,UOF,1372,D703,Officer,White,Male,,,5673,Hispanic,Male,No,Buffalo,D,Male,Verbal Commands
11455,140460046,2/15/2014,2014-02-15,Use Offorce,UOF,1372,D703,Officer,White,Male,,,5673,Hispanic,Male,No,Buffalo,D,Male,Physical Engagement
11456,140460046,2/15/2014,2014-02-15,Use Offorce,UOF,1372,D703,Officer,White,Male,,,5673,Hispanic,Male,No,Buffalo,,Male,Verbal Commands
11456,140460046,2/15/2014,2014-02-15,Use Offorce,UOF,1372,D703,Officer,White,Male,,,5673,Hispanic,Male,No,Buffalo,,Male,Physical Engagement
11456,140460046,2/15/2014,2014-02-15,Use Offorce,UOF,1302,L515,Officer,White,Male,,,5673,Hispanic,Male,No,Buffalo,,Male,Verbal Commands
11456,140460046,2/15/2014,2014-02-15,Use Offorce,UOF,1302,L515,Officer,White,Male,,,5673,Hispanic,Male,No,Buffalo,,Male,Physical Engagement
11456,140460046,2/15/2014,2014-02-15,Use Offorce,UOF,1302,L515,Officer,White,Male,,,5673,Hispanic,Male,No,Buffalo,,Male,Cap Spray
11495,13-2500708,8/22/2013,2013-08-22,External,GEN,1366,L510,Oﬃcer,Black,Male,No,,5685,White,Female,No,Buﬀalo,,Female,
11518,140480608,2/17/2014,2014-02-17,Use Of Force,UOF,1146,D692,Policeoﬃcer,White,Male,,,3209,Black,Male,No,Buﬀalo,,Male,
11518,140480608,2/17/2014,2014-02-17,Use Of Force,UOF,967,L499,Policeoﬃcer,White,Male,,,3209,Black,Male,No,Buﬀalo,,Male,
11544,14-049-1015,2/18/2014,2014-02-18,Use Of Force,UOF,1146,D692,Policeoﬃcer,White,Male,,,5702,Black,Female,No,Buﬀalo,A,Female,
